FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	expr_LNPEP
HG00105	HG00105	0.00912305	-0.0106728	0.0252022	0.0532203	-0.0383994	-0.0158564	-0.0208485	0.00660929	-0.0133585	-0.0295335	16.3605829046387
HG00115	HG00115	0.00973818	-0.00783145	0.0397901	0.0353067	-0.0304915	-0.00842556	0.085361	0.0480019	-0.013325	-0.152507	15.3245303528143
HG00132	HG00132	0.0111027	-0.0175471	0.0252169	0.0407093	-0.0471336	-0.0190615	-0.000642491	-0.0287627	0.0166259	0.0019327	12.2869757606881
HG00145	HG00145	0.0108515	-0.0146049	0.0157398	0.0275393	-0.0232496	-0.0179421	-0.00846806	-0.00426995	-0.00426179	-0.0417445	12.1937530890682
HG00157	HG00157	0.0108542	-0.00668414	0.0173815	0.0371952	-0.0448726	-0.0186926	0.00527042	-0.0355761	0.0470637	0.0219511	12.1414485021861
HG00181	HG00181	0.0164879	0.0366611	-0.0155458	-0.059631	-0.0162845	0.00606495	-0.0212534	0.00561646	0.00976397	0.00167958	11.4811721540914
HG00308	HG00308	0.0223395	0.0677233	-0.0188072	-0.0547879	-0.0526232	0.00226126	0.00520579	0.0355903	-0.0157763	0.00143658	11.4658917576591
HG00365	HG00365	0.0228418	0.0846895	-0.0258446	-0.0671448	-0.0419763	0.0139349	-0.0118927	0.0282472	0.0092973	0.0426423	14.9879085781424
HG00371	HG00371	0.0224666	0.0669423	-0.0220377	-0.0434324	-0.0292937	4.49051e-05	-0.0168542	0.0140073	0.0137352	-0.00110558	14.1367187701046
HG00379	HG00379	0.0212298	0.0647349	-0.0091336	-0.0223241	-0.0436659	-0.0204011	-0.0288807	-0.00358217	0.013934	-0.0689807	12.8250992209866
HG00380	HG00380	0.0195942	0.0421353	-0.00256841	-0.00499521	-0.0616624	0.0124563	-0.00587572	0.0454134	0.0111978	-0.0671404	11.5769863922702
HG01789	HG01789	0.0120653	-0.0163615	0.0235458	0.0520647	-0.0404045	-0.0242527	-0.0154727	-0.00957368	-0.0184406	0.0128965	10.5072267323573
HG01790	HG01790	0.0113757	-0.0116957	0.0180924	0.0327304	-0.0364092	-0.019459	0.00361865	0.015058	0.0194559	-0.0127803	13.6055582516385
HG01791	HG01791	0.0106336	-0.0149167	0.0151035	0.0337003	-0.0171926	-0.0218692	0.0175045	0.0521421	0.000930266	0.0303514	11.8236534995939
HG02215	HG02215	0.0106509	-0.0120584	0.0212589	0.0357591	-0.0316485	-0.00967277	-0.0114779	0.0134017	-0.0379022	0.00143122	14.2934271180831
NA06985	NA06985	0.0127994	-0.0143549	0.0205007	0.0336205	-0.0343603	-0.0017345	-0.0145434	-0.00516911	0.0073311	-0.0522259	15.460114085308
NA07346	NA07346	0.0121664	-0.000303583	0.00995696	0.0260413	-0.0428205	-0.0149239	-0.040336	-0.0102585	0.0266345	0.0086014	11.8769328123116
NA11832	NA11832	0.0101142	-0.0170495	0.0178187	0.0218464	0.00132075	-0.0180125	-0.0150723	0.0420454	0.000606225	0.00427859	8.49918511601248
NA11840	NA11840	0.0140767	0.00352429	0.00983011	0.0167868	-0.0406583	-0.0394518	0.0108464	-0.0324122	0.0122988	0.0116448	10.9465773308988
NA11881	NA11881	0.0117346	-0.00965727	0.0162861	0.0226559	-0.0483644	-0.0136934	-0.0129638	0.0340639	0.0348461	-0.0210994	12.2324303445279
NA11918	NA11918	0.0110738	-0.0128731	0.0187501	0.0486835	-0.0299775	-0.00437841	-0.00493209	0.00865439	0.00766518	-0.0291623	12.4613607128557
