gene	signal_id	label	lead_snp	set_type	rsids_path	pip_path	credible_path	ld_gz	top_table	outdir
ERAP2	sig1	ERAP2	rs2910686	credible	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP2_credible.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP2_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP2_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP2_credible.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP2_credible.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP2	sig1	ERAP2	rs2910686	proxy_r20.8	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP2_proxy_r20.8.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP2_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP2_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP2_proxy_r20.8.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP2_proxy_r20.8.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
LNPEP	sig1	LNPEP	rs248215	credible	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/LNPEP_credible.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/LNPEP_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/LNPEP_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/LNPEP_credible.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/LNPEP_credible.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
LNPEP	sig1	LNPEP	rs248215	proxy_r20.8	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/LNPEP_proxy_r20.8.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/LNPEP_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/LNPEP_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/LNPEP_proxy_r20.8.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/LNPEP_proxy_r20.8.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig1	ERAP1_sig1	rs30379	credible	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig1_credible.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig1_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig1_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig1_credible.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig1_credible.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig1	ERAP1_sig1	rs30379	proxy_r20.8	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig1_proxy_r20.8.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig1_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig1_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig1_proxy_r20.8.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig1_proxy_r20.8.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig2	ERAP1_sig2	rs27039	credible	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig2_credible.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig2_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig2_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig2_credible.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig2_credible.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig2	ERAP1_sig2	rs27039	proxy_r20.8	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig2_proxy_r20.8.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig2_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig2_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig2_proxy_r20.8.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig2_proxy_r20.8.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig3	ERAP1_sig3	rs1065407	credible	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig3_credible.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig3_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig3_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig3_credible.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig3_credible.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
ERAP1	sig3	ERAP1_sig3	rs1065407	proxy_r20.8	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/rsids/ERAP1_sig3_proxy_r20.8.rsids.txt	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig3_pip.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/04_finemap_pip/ERAP1_sig3_credible95.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot/ld/ERAP1_sig3_proxy_r20.8.ld.gz	/home/jihwanlee/Publish/5q15_immune_dieases/table/functional_candidates/ERAP1_sig3_proxy_r20.8.top20.tsv	/home/jihwanlee/Publish/5q15_immune_dieases/result/05_functional_annot
