SNP	gene	impact	most_severe_consequence	consequence_terms	biotype	amino_acids	protein_start	protein_end	sift_prediction	polyphen_prediction	CADD_PHRED_max
rs151964	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs246453	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs246454	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs246455	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs26510	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs27529	ERAP1	MODERATE	missense_variant	missense_variant	protein_coding	S/R	453	453	tolerated	benign	
rs27710	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs30187	ERAP1	MODERATE	missense_variant	missense_variant	protein_coding	K/M	528	528	deleterious	probably_damaging	
rs30378	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs30379	ERAP1	LOW	splice_region_variant	splice_region_variant,splice_polypyrimidine_tract_variant,intron_variant	protein_coding						
rs30380	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
rs469758	ERAP1	MODIFIER	intron_variant	intron_variant	protein_coding						
