SNP	gene	impact	most_severe_consequence	consequence_terms	biotype	amino_acids	protein_start	protein_end	sift_prediction	polyphen_prediction	CADD_PHRED_max	PIP	R2_to_lead	score	is_lead
rs1065407	ERAP1	MODIFIER	3_prime_UTR_variant	intron_variant	protein_coding							0.3699416227978387	1.0	1.2	1
rs1057569	ERAP1	MODIFIER	3_prime_UTR_variant	intron_variant	protein_coding							0.128399041981406	0.828722	1.2	0
rs13160562	ERAP1	MODIFIER	3_prime_UTR_variant	intron_variant	protein_coding							0.128399041981406	0.828722	1.2	0
rs7063	ERAP1	MODIFIER	3_prime_UTR_variant	intron_variant	protein_coding							0.128399041981406	0.828722	1.2	0
rs13167972	ERAP1	MODIFIER	3_prime_UTR_variant	3_prime_UTR_variant	protein_coding							0.1170160742762059	0.865592	1.2	0
rs754615	CAST	MODERATE	missense_variant	missense_variant	protein_coding	C/S	386	386	tolerated	benign		0.0459124677189013	0.849832	1.2	0
rs2042379	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0066582432189277	0.668515	0.4	0
rs2042380	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0066582432189277	0.668515	0.4	0
rs731827	CAST	MODIFIER	intron_variant	intron_variant	protein_coding							0.0041901868582006	0.759332	0.4	0
rs26508	CAST	MODIFIER	intron_variant	intron_variant	protein_coding							0.003868418449886	0.0191036	0.4	0
rs27851	CAST	MODIFIER	intron_variant	intron_variant	protein_coding							0.003868418449886	0.0191036	0.4	0
rs27944	CAST	MODIFIER	intron_variant	intron_variant	protein_coding							0.003868418449886	0.0191036	0.4	0
rs27962	CAST	MODIFIER	intron_variant	intron_variant	protein_coding							0.003868418449886	0.0191036	0.4	0
