SNP	gene	impact	most_severe_consequence	consequence_terms	biotype	amino_acids	protein_start	protein_end	sift_prediction	polyphen_prediction	CADD_PHRED_max	PIP	R2_to_lead	score	is_lead
rs2248374	ERAP2	LOW	splice_donor_region_variant	splice_donor_region_variant,intron_variant	protein_coding							0.0090863002316257	0.957698	3.4	0
rs2549797	ERAP2	LOW	splice_donor_5th_base_variant	splice_donor_5th_base_variant,intron_variant,NMD_transcript_variant	nonsense_mediated_decay							0.0090863002316257	0.957698	3.4	0
rs248215	LNPEP	MODIFIER	3_prime_UTR_variant	3_prime_UTR_variant	protein_coding							0.0190151885838192	1.0	1.2	1
rs1019503	ERAP2	MODIFIER	3_prime_UTR_variant	downstream_gene_variant	protein_coding							0.0090863002316257	0.957698	1.2	0
rs1230381	ERAP2	MODIFIER	3_prime_UTR_variant	downstream_gene_variant	protein_coding							0.0090863002316257	0.957698	1.2	0
rs1230382	ERAP2	MODIFIER	3_prime_UTR_variant	downstream_gene_variant	protein_coding							0.0090863002316257	0.957698	1.2	0
rs2255546	ERAP2	MODERATE	missense_variant	missense_variant	protein_coding	L/I	826	826	deleterious	possibly_damaging		0.0090863002316257	0.957698	1.2	0
rs2549782	ERAP2	MODERATE	missense_variant	missense_variant	protein_coding	K/N	347	347	tolerated	benign		0.0090863002316257	0.957698	1.2	0
rs2617434	LNPEP	MODIFIER	5_prime_UTR_variant	5_prime_UTR_variant	protein_coding							0.0064446089741442	0.908907	1.2	0
rs9127	LNPEP	MODIFIER	3_prime_UTR_variant	3_prime_UTR_variant	protein_coding							0.0053696113369616	0.94264	1.2	0
rs1056893	ERAP2	LOW	synonymous_variant	synonymous_variant	protein_coding	S	730	730				0.0090863002316257	0.957698	0.8	0
rs2287988	ERAP2	LOW	synonymous_variant	synonymous_variant	protein_coding	Q	518	518				0.0090863002316257	0.957698	0.8	0
rs2548538	ERAP2	LOW	synonymous_variant	synonymous_variant	protein_coding	P	390	390				0.0090863002316257	0.957698	0.8	0
rs2549796	ERAP2	LOW	synonymous_variant	synonymous_variant	protein_coding	G	698	698				0.0090863002316257	0.957698	0.8	0
rs6879678	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0142906009605186	0.962456	0.4	0
rs2549781	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0136224173161131	0.9322	0.4	0
rs2112974	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs2113050	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs27292	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs27305	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs27397	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs27747	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
